AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schuyler County,2018-01-01T00:00:00,2018
,813.5,813.5,131,77,11,,,10,136,32,165,46,17,,22,-23.9,,,63.5,35,,-2.2,-2.2,-12.8,-12.8,-12.8,-2.2,-2.2,-6.7,-6.7,-11.7,3075.5,,,3075.5,,,,,,,,,,,1077.2,,11.8,17.54,6.06,,,,,,,,Scott County,2018-01-01T00:00:00,2018
,856.2,856.2,119,81,10.16666667,9.666666667,3.666666667,9.333333333,136,29,163,41.66666667,14.75,,11.5,-23.33333333,76,73.66666667,86.83333333,35,,-0.766666667,-4.233333333,-5.9,-8.866666667,-9.8,-1.1,-2.6,-5.566666667,-6.7,-11.46666667,2953.6,,,2953.6,,,,,,,,,,,1180.857143,227.6666667,11.93333333,17.66666667,6.203333333,,,,,,,,Shelby County,2018-01-01T00:00:00,2018
,551.7,551.7,102,77,9,,9,18,162,51,150,15,,,,-30,,356,96.5,35,,-0.6,-3.3,-5.6,-10.6,-10.6,0,-6.1,-6.1,-10,-10,,,,,,,,,,,,,,,1086.4,1054,9.11,14.64,3.58,,,,,,,,Stark County,2018-01-01T00:00:00,2018
,463.3,463.3,122.75,79.5,12.25,43,13,18,165,60,144,11,20,,5,-25.6,305,165,98.225,35.6,,-1.7,-2.2,-5,-9.4,-9.4,0,-2.2,-4.4,-6.7,-8.9,3901.4,,,3901.4,,,,,,,,,,,1240.08,888,8.51,13.83,3.18,,,,,,,,Stephenson County,2018-01-01T00:00:00,2018
,,,126,82.33333333,8.333333333,41,11,,,,,,47,,38,,152,99,74.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.633333,819,,,,,,,,,,,Tazewell County,2018-01-01T00:00:00,2018
,,,135,97,20,,,,,,,,,,,,,,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.4,,,,,,,,,,,,Union County,2018-01-01T00:00:00,2018
,680.8,680.8,125,82.6,10,35,5,14,146,39,159,20,41,,54,-27.2,102,132,91.12,35,,0,-2.2,-5.6,-7.8,-10,-3.9,-3.9,-5.6,-7.2,-8.9,3365.4,,,3365.4,,,,,,,,,,,1185.08,527,10.73,16.19,5.27,,,,,,,,Vermilion County,2018-01-01T00:00:00,2018
,661.25,661.25,106.5,75,7.5,32,9,16.5,160.5,43,155.5,26.5,16,,7,-28.6,178,173,67.8,36.95,,-0.3,-3.85,-5.25,-10.55,-10.55,-3.3,-3.3,-5,-8.05,-8.9,3562.8,29.4,26.1,3562.8,35,31.1,-4.4,-3.3,-3.3,-2.2,11.4,11,14.8,13.2,917.3,802,9.94,15.53,4.35,,,,,,,,Warren County,2018-01-01T00:00:00,2018
,,,127,83,18,5,2,,,,,,3,,1,,76,81,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1371.2,122,,,,,,,,,,,Washington County,2018-01-01T00:00:00,2018
,,,108,85.5,17.5,5,4,,,,,,9,,17.5,,76,51,171.95,,,,,,,,,,,,,2523.7,,,2523.7,,,,,,,,,,,1591.1,160,,,,,,,,,,,Wayne County,2018-01-01T00:00:00,2018
,899.1,899.1,120,88,13,,,11,119,15,172,53,,,,-21.1,,,70.6,35.6,,-3.3,-3.3,-6.7,-6.7,-10.6,-1.1,-2.2,-5.6,-8.3,-8.9,2802.4,,,2802.4,,,,,,,,,,,1358,,12.89,19.32,6.46,,,,,,,,White County,2018-01-01T00:00:00,2018
,589.4,589.4,116.2857143,77.57142857,12.85714286,41,13,16.5,151.5,52.33333333,152.3333333,15,7.5,,20,-27.8,279.5,255.25,74,35.4,,-0.85,-2.5,-7.2,-8.05,-10,-0.3,-3.6,-6.1,-8.6,-9.15,3620.1,,,3620.1,,,,,,,,,,,1191.342857,1079.5,9.56,14.49333333,4.51,,,,,,,,Whiteside County,2018-01-01T00:00:00,2018
,613.4,613.4,125.9090909,78.54545455,7.818181818,39,11.33333333,12,148.5,39.5,146.5,23,15.66666667,,12.33333333,-26.15,330,168.6666667,66.34545455,35,,-0.3,-3.6,-6.35,-7.75,-10.55,-0.3,-2.5,-5,-7.5,-8.9,3472.3,,,3472.3,,,,,,,,,,,1022.707692,884.6666667,10.025,15.105,4.935,,,,,,,,Will County,2018-01-01T00:00:00,2018
,,,152.5,90.5,17,,,,,,,,,,,,,,75.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.15,,,,,,,,,,,,Williamson County,2018-01-01T00:00:00,2018
3.7,517.4,517.4,127,81.75,14.25,50,14,13,161,43,148,15,114,21,46.5,-26.6,319.5,232,90.875,36.1,,-1.6,-3.2,-5.5,-7.1,-9.9,-2.7,-2.7,-8.2,-8.2,-11,3713.3,,,3713.3,,,,,,,,,,,1303.425,997.3333333,9.27,14.52,4.02,330,,,,18.3,,,Winnebago County,2018-01-01T00:00:00,2018
,726.8,726.8,120,76,6.5,41,11.5,15.5,148,33.5,162.5,42.5,34,,30,-29.15,241.5,160,57.575,35.85,,-1.1,-2.2,-5.6,-9.45,-9.45,-3.6,-3.6,-5.25,-9.45,-12.8,3367.15,,,3367.15,,,,,,,,,,,938.725,836.5,10.73,16.66,4.81,,,,,,,,Woodford County,2018-01-01T00:00:00,2018
4.2,726.1,726.1,111,69,13,,,5,120,39,158,22,25,2,8,-24.9,,,58.15,35,,0,-3.2,-6.6,-8.2,-11,0,-3.2,-13.2,-13.2,-13.2,3248.1,,,3248.1,,,,,,,,,,,1063.3,,11.56,16.61,6.5,330,320,,,20.6,28.2,,Adams County,2019-01-01T00:00:00,2019
,967.3,967.3,,,,,,0,67,11,178,47,,,,-13.9,,,,36.1,,-1.1,-2.2,-5,-7.2,-11.1,-2.2,-2.2,-8.9,-8.9,-8.9,2296,,,2296,,,,,,,,,,,,,14.73,19.68,9.78,,,,,,,,Alexander County,2019-01-01T00:00:00,2019
,,,144,89,8.5,59.5,13,,,,,,,,2,,305,118,102,,,,,,,,,,,,,,,,,,,,,,,,,,,1285.75,989,,,,,,,,,,,Boone County,2019-01-01T00:00:00,2019
,500.9333333,500.9333333,134.6666667,99.33333333,14,44,16.5,13.33333333,143.6666667,53.33333333,144,13.66666667,14,,43,-32.23333333,330,171.5,113.6333333,34.4,,-0.2,-4.833333333,-7.4,-9.066666667,-10,-0.766666667,-2.966666667,-5,-8.166666667,-8.9,3799.366667,,,3799.366667,,,,,,,,,,,1383.133333,1165,9.386666667,14.61,4.16,,,,,,,,Bureau County,2019-01-01T00:00:00,2019
,,,111,76,16,,4,,,,,,,,,,,216,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.6,359,,,,,,,,,,,Calhoun County,2019-01-01T00:00:00,2019
,477.2,477.2,142,92,9,,17,23,158,51,146,18,6,,16,-38.9,,165,66.46666667,35.6,,0,-2.2,-10,-10,-10,-6.1,-6.1,-6.1,-9.4,-9.4,4039.3,,,4039.3,,,,,,,,,,,1295.633333,1323,8.8,15.02,2.58,,,,,,,,Carroll County,2019-01-01T00:00:00,2019
,,,127,78,15,,,,,,,,1,,9,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.3,,,,,,,,,,,,Cass County,2019-01-01T00:00:00,2019
3.9,586,586,135.0714286,82.28571429,6.928571429,31.2,7,7.8,131.2,36.4,160,16.6,102.8,37,23.5,-26.52,142.2,106.2,58.97142857,34.5,551.2,-0.82,-4.48,-5.88,-8.28,-10.22,-0.56,-3.46,-5.7,-11.96,-15.84,3326.5,26.1,26.1,3326.5,31.7,28.3,-5,-3.9,-3.9,-2.2,10.4,11.5,14.1,13,1022.225,513.8,10.84,16.298,5.38,270,290,247,,21.9,33.5,25.5,Champaign County,2019-01-01T00:00:00,2019
,716.9,716.9,126.8,84.6,14,,,4,128,25,168,31,18.66666667,,17.66666667,-23.9,,,86.66,35,,-0.6,-3.9,-8.3,-8.3,-13.3,-0.6,-2.8,-12.8,-12.8,-12.8,3086.3,,,3086.3,,,,,,,,,,,1352.54,,11.86,17.7,6.03,,,,,,,,Christian County,2019-01-01T00:00:00,2019
,745,745,114,84,13,18,5,3,125,24,168,38,13,,12,-22.2,127,109,69.6,36.1,,0,-4.4,-4.4,-8.9,-8.9,-0.6,-2.2,-10.6,-10.6,-10.6,2974.6,,,2974.6,,,,,,,,,,,1322.2,351,12.13,18.03,6.23,,,,,,,,Clark County,2019-01-01T00:00:00,2019
,853,853,129,90.5,15,8,5,2,125,20,175,49,13,,15,-20.6,127,127,71.1,36.7,,-3.3,-3.3,-7.2,-7.2,-12.2,0,-2.8,-11.1,-11.1,-11.1,2858.6,,,2858.6,,,,,,,,,,,1406.5,292,12.85,18.75,6.95,,,,,,,,Clay County,2019-01-01T00:00:00,2019
,,,107,85,13,,,,,,,,,,,,,,91.7,,,,,,,,,,,,,2813.3,,,2813.3,,,,,,,,,,,1173.8,,,,,,,,,,,,Clinton County,2019-01-01T00:00:00,2019
4,732.85,732.85,112.6666667,76,11.33333333,16,7,2.5,109.5,29,165,33,64,33,26.5,-24.35,203,152,85.5,34.45,,-1.35,-3.55,-5.2,-9.35,-9.35,-0.5,-3.3,-9.4,-13,-13,3090.3,,,3090.3,,,,,,,,,,,1133.233333,558,12.29,17.805,6.785,300,310,,,17.9,26.8,,Coles County,2019-01-01T00:00:00,2019
4.1,512.7333333,512.7333333,144.7727273,91.81818182,10.77272727,35.66666667,14.2,8.571428571,131,49.5,141.5,14,57.57142857,6,24.71428571,-30.27142857,219,143.6,76.22272727,35.18333333,,-1.385714286,-4.071428571,-5.842857143,-8.5,-9.957142857,-1.171428571,-3.614285714,-4.871428571,-8.928571429,-10.27142857,3592.271429,,,3592.271429,,,,,,,,,,,1302.892593,997,9.816666667,14.49,5.081428571,263.3333333,266.6666667,,,18.33333333,27.13333333,,Cook County,2019-01-01T00:00:00,2019
,789,789,121,85,16,,,2,119,26,171,43,13,,10,-22.2,,,50.5,36.1,,-3.3,-3.3,-7.8,-7.8,-16.1,-0.6,-3.9,-10,-10,-10,2896.1,,,2896.1,,,,,,,,,,,1429.95,,12.38,18.18,6.58,,,,,,,,Crawford County,2019-01-01T00:00:00,2019
,745,745,114,84,13,18,5,3,125,24,168,38,13,,12,-22.2,127,109,69.6,36.1,,0,-4.4,-4.4,-8.9,-8.9,-0.6,-2.2,-10.6,-10.6,-10.6,2974.6,,,2974.6,,,,,,,,,,,1322.2,351,12.13,18.03,6.23,,,,,,,,Cumberland County,2019-01-01T00:00:00,2019
,402.4,402.4,138.8,89.2,10.8,61.5,17,14,151.5,60.5,134,10,32,,21.5,-33.2,457.5,185.5,77.6,34.4,817.1,-0.25,-4.45,-7.5,-7.5,-10.3,-2.55,-2.55,-6.2,-10.5,-10.5,4016.8,,,4016.8,,,,,,,,,,,1272.983333,1420,8.515,13.56,3.465,,,,32463,,,,DeKalb County,2019-01-01T00:00:00,2019
,,,142,91,12,36,11,,,,,,12,,20,,229,152,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1219.2,689,,,,,,,,,,,De Witt County,2019-01-01T00:00:00,2019
,645,645,130,92,9,25,8,5,125,35,160,15,19,,36,-25.6,203,178,49.3,35,,0,-3.3,-9.4,-9.4,-9.4,0,-2.8,-4.4,-12.2,-12.2,3296.7,,,3296.7,,,,,,,,,,,1119.8,589,11.13,16.31,5.95,,,,,,,,Douglas County,2019-01-01T00:00:00,2019
4.2,492.5,492.5,150.8461538,92.76923077,11.69230769,41,15.5,7.666666667,135.3333333,48,142,16,54.75,11,30,-31.63333333,295,134,66.00769231,35,,0,-4.933333333,-5.3,-8.633333333,-10.13333333,-1.8,-2.866666667,-5.133333333,-8.833333333,-9.733333333,3658.8,,,3658.8,,,,,,,,,,,1358.2375,1219.5,9.576666667,14.63,4.526666667,310,265,,,20.15,26.35,,DuPage County,2019-01-01T00:00:00,2019
,569.1,569.1,119,86,10,19,6,4,134,31,159,12,8,,,-25.6,178,137,99.1,33.3,,-0.6,-3.9,-4.4,-8.3,-9.4,0,-5,-5,-13.3,-13.3,3285.5,,,3285.5,,,,,,,,,,,1132,455,10.85,16.36,5.33,,,,,,,,Edgar County,2019-01-01T00:00:00,2019
,763.7,763.7,130.6666667,85.33333333,14.33333333,15,6,2,128,24,169,40,6,,6.5,-21.7,127,134.5,94.16666667,36.1,,-3.9,-3.9,-7.2,-7.2,-12.8,0,-3.3,-12.2,-12.2,-12.2,2985.2,,,2985.2,,,,,,,,,,,1404.3,403,12.32,18.22,6.43,,,,,,,,Effingham County,2019-01-01T00:00:00,2019
,597.9,597.9,132,92,16,23,5,4,129,30,162,15,67,,34,-23.9,203,198,58.4,33.9,,-0.6,-4.4,-4.4,-8.9,-8.9,-1.1,-2.8,-12.2,-12.2,-12.2,3167.5,,,3167.5,,,,,,,,,,,1398.1,457,11.17,16.73,5.61,,,,,,,,Fayette County,2019-01-01T00:00:00,2019
,506.3,506.3,112,82,8,,,13,137,47,158,18,,,,-29.4,,,64.4,33.3,,-1.1,-5.6,-5.6,-11.1,-11.1,-0.6,-3.9,-4.4,-7.8,-10.6,3532.8,,,3532.8,,,,,,,,,,,1026.5,,9.99,15.59,4.39,,,,,,,,Ford County,2019-01-01T00:00:00,2019
,,,109.5,81,14,,,,,,,,,,40,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.95,,,,,,,,,,,,Franklin County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fulton County,2019-01-01T00:00:00,2019
,,,141,88,18,19,5,,,,,,9,,11,,229,218,65.8,,,,,,,,,,,,,3088,,,3088,,,,,,,,,,,1297.7,490,,,,,,,,,,,Greene County,2019-01-01T00:00:00,2019
,592,592,155.75,102.25,11,33.5,14.5,11,136,47,154,22,7,,24,-30.6,216,80,167.2,35,,0,-5.6,-5.6,-9.4,-9.4,0,-3.9,-5,-7.8,-10.6,3631,,,3631,,,,,,,,,,,1501.583333,829,10.12,15.27,4.98,,,,,,,,Grundy County,2019-01-01T00:00:00,2019
,,,145,74,10,,,,,,,,,,,,,,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.5,,,,,,,,,,,,Hamilton County,2019-01-01T00:00:00,2019
,637.35,637.35,121.1666667,74.5,14.66666667,35.5,9,8.25,124.25,48.25,151.25,17.5,8,,25,-26.8,304.75,200.2,82.03333333,34.85,,-0.425,-2.475,-6.65,-8.45,-12.35,-0.975,-2.775,-4.975,-10.125,-10.125,3407.8,,,3407.8,,,,,,,,,,,1303.366667,807.4,10.7675,15.82,5.715,,,,,,,,Hancock County,2019-01-01T00:00:00,2019
,692,692,135,89,23,4,0,0,123,16,177,23,,,,-15.6,51,13,70.6,35.6,,-0.6,-5.6,-5.6,-7.2,-11.7,-1.1,-2.8,-5,-10,-10,2723.4,,,2723.4,,,,,,,,,,,1552.7,13,12.83,18.75,6.91,,,,,,,,Hardin County,2019-01-01T00:00:00,2019
,632.8,632.8,108,83,13,37,11,8,127,48,149,20,,,,-29.4,305,178,74.9,35,,-1.7,-3.3,-6.7,-6.7,-13.9,-2.8,-2.8,-6.1,-10.6,-10.6,3494.7,,,3494.7,,,,,,,,,,,1186,695,10.51,15.37,5.65,,,,,,,,Henderson County,2019-01-01T00:00:00,2019
,509.7,509.7,141.4,96.2,11.8,44,14,13.66666667,150,59.33333333,143.3333333,12,2,,16,-33.36666667,254,174.6666667,76.72,34.46666667,,-0.766666667,-3.7,-6.3,-8.9,-10.2,-0.933333333,-3.133333333,-5,-8.133333333,-10.2,3825.333333,,,3825.333333,,,,,,,,,,,1362.88,969,9.273333333,14.59,3.946666667,,,,,,,,Henry County,2019-01-01T00:00:00,2019
,,,157.5,83,11,,,,,,,,,,,,,,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.033333,,,,,,,,,,,,Iroquois County,2019-01-01T00:00:00,2019
3.1,846.15,846.15,126.8,89.2,18.6,9,3,0,106.5,15,179,44.5,122.5,34,30,-14.4,114,119,66.1,35.6,,-3.55,-3.55,-6.9,-7.45,-11.9,-1.05,-3,-8.55,-8.55,-9.95,2597,,,2597,,,,,,,,,,,1514.4,400,13.565,19.32,7.815,210,220,,,19.2,26.8,,Jackson County,2019-01-01T00:00:00,2019
,754.5,754.5,130,88,12.5,24,7,2,109,25,167,24,19,,43,-21.7,127,81,62.85,35,,-1.7,-3.3,-4.4,-7.8,-9.4,0,-3.9,-12.2,-12.2,-12.2,2901.2,,,2901.2,,,,,,,,,,,1259.05,448,12.54,17.68,7.4,,,,,,,,Jasper County,2019-01-01T00:00:00,2019
,705,705,123.3333333,88.33333333,17.33333333,,,2,115,23,166,12,3,,38,-19.4,,,67.83333333,33.9,,0,-4.4,-4.4,-7.2,-12.8,-1.1,-2.2,-4.4,-10,-10,2842.1,,,2842.1,,,,,,,,,,,1452.225,,12.53,17.66,7.4,,,,,,,,Jefferson County,2019-01-01T00:00:00,2019
,693.3,693.3,104,74,14,25,8,5,127,30,160,28,6,,19,-22.8,178,127,81.8,34.4,,0,-5,-5,-8.9,-8.9,-1.1,-2.2,-11.7,-11.7,-11.7,3051,,,3051,,,,,,,,,,,1298.8,446,11.71,17.18,6.24,,,,,,,,Jersey County,2019-01-01T00:00:00,2019
,397.1333333,397.1333333,145.6,96.4,12.8,67.5,16.66666667,20.33333333,156.3333333,65,132.6666667,10,23.5,,22,-36.13333333,317.5,154.6666667,65.24,34.06666667,,-0.2,-2.6,-8.3,-8.3,-10.16666667,-3.5,-4.433333333,-5.533333333,-7.566666667,-10.9,4163.825,,,4163.825,,,,,,,,,,,1336.18,1379.333333,8.15,13.40333333,2.89,,,,,,,28.2,Jo Daviess County,2019-01-01T00:00:00,2019
,,,140,93,24,,,,,,,,,,,,,,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.9,,,,,,,,,,,,Johnson County,2019-01-01T00:00:00,2019
4.2,440.5666667,440.5666667,144.8,93.4,12.7,45.5,14.66666667,11.33333333,145.3333333,54,141.3333333,14.66666667,28,3,10,-32.96666667,355.75,170.6666667,64.75,34.6,,0,-6.266666667,-6.266666667,-8.1,-10.13333333,-1.266666667,-4.966666667,-7,-9.4,-11.06666667,3778.5,,,3778.5,,,,,,,,,,,1306.881818,1237.833333,9.083333333,14.36666667,3.8,260,260,,,22.8,29.1,,Kane County,2019-01-01T00:00:00,2019
,541.5,541.5,129.6,82.8,9.4,,,9,128,37,149,16,33,,13,-30,,,79.66,34.4,,-0.6,-4.4,-4.4,-8.3,-13.3,0,-2.8,-7.8,-7.8,-11.7,3363,,,3363,,,,,,,,,,,1169.52,,10.28,15.5,5.07,,,,,,,,Kankakee County,2019-01-01T00:00:00,2019
,,,150,94,13.5,32,16,,,,,,,,,,229,119,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.85,986,,,,,,,,,,,Kendall County,2019-01-01T00:00:00,2019
,538.6666667,538.6666667,128.5,94,13.25,40.5,15,13.66666667,144.6666667,53.33333333,146.6666667,13.66666667,5.666666667,,7,-32.6,279.5,143.5,102.675,34.83333333,,-0.4,-4.433333333,-6.866666667,-6.866666667,-10.16666667,-0.566666667,-2.966666667,-6.333333333,-7.433333333,-10.4,3701.6,,,3701.6,,,,,,,,,,,1350.05,963.5,9.68,15.05,4.313333333,,,,,,,,Knox County,2019-01-01T00:00:00,2019
3.4,334.6666667,334.6666667,147.7777778,91.44444444,10.44444444,46.5,16,10,144,60,129.3333333,5.333333333,30.66666667,2,24.66666667,-32,330.5,207.5,78.06666667,33.7,,0,-4.4,-7,-7,-10.16666667,-1.466666667,-3.5,-4.766666667,-8.3,-12.56666667,3948.833333,,,3948.833333,,,,,,,,,,,1361.555556,1427.5,8.313333333,13.19333333,3.426666667,220,250,,,17,23.3,,Lake County,2019-01-01T00:00:00,2019
,516.4,516.4,146.5,95.9,12.9,,15,10.4,140.4,50.75,147.75,13.25,8,,16.75,-30.68,,109,118.93,34.15,,-0.56,-4.12,-5.78,-8.66,-9.78,-0.46,-3.32,-5.44,-8.34,-10,3594.85,,,3594.85,,,,,,,,,,,1399.81,1107,9.8325,14.9775,4.508,,,,,,,,La Salle County,2019-01-01T00:00:00,2019
,,,129,91.5,15.5,12,6,,,,,,105,34,16.33333333,,76,84,81.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1438.4,361,,,,,,,,,,,Lawrence County,2019-01-01T00:00:00,2019
,350,350,137.2,88.8,11.8,38,11,13,166,64,136,6,33,,31.66666667,-32.8,127,104,67.36,33.3,,-1.7,-3.3,-10,-10,-10,-0.6,-2.8,-6.7,-6.7,-9.4,4105.1,,,4105.1,,,,,,,,,,,1286.02,766,8.08,13.39,2.76,,,,,,,,Lee County,2019-01-01T00:00:00,2019
,484.7,484.7,138.8,95.8,8.8,,,9.5,139,53.5,146,10.5,4.333333333,,5.333333333,-29.45,,,83.22,33.6,,0,-4.75,-5,-8.9,-10.3,-0.3,-2.5,-6.7,-8.6,-10.8,3579.55,,,3579.55,,,,,,,,,,,1215.92,,9.685,14.635,4.74,,,,,,,,Livingston County,2019-01-01T00:00:00,2019
,,,130,77.66666667,11,,,,,,,,32.33333333,,25.66666667,,,,66.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,,1109.866667,,,,,,,,,,,,Logan County,2019-01-01T00:00:00,2019
,558.2,558.2,127.5,78,15,43,10,11,142,43,155,12,1,,,-28.9,356,213,64.35,33.3,,-1.1,-2.2,-6.7,-6.7,-9.4,-1.1,-2.8,-6.7,-6.7,-12.8,3553.5,,,3553.5,,,,,,,,,,,1301.55,807,10.26,15.58,4.94,,,,,,,,McDonough County,2019-01-01T00:00:00,2019
,403.8,403.8,151.625,95.25,9.875,55,14,13,145,58,139,19,15.66666667,,17.33333333,-35.6,351.3333333,203,76.625,36.1,,0,-2.2,-7.8,-7.8,-11.1,-2.8,-2.8,-5.6,-7.2,-11.7,3930.1,,,3930.1,,,,,,,,,,,1299.277778,1285.333333,8.67,14.26,3.08,,,,,,,,McHenry County,2019-01-01T00:00:00,2019
,577.1,577.1,136.7142857,87,10.28571429,37,11.5,13,137,42,155,24,31.33333333,,31.33333333,-29.4,235,163.5,78.95714286,35.6,,0,-4.4,-4.4,-11.1,-11.1,0,-2.2,-4.4,-7.8,-13.3,3604.25,,,3604.25,,,,,,,,,,,1219.914286,843,10.35,16.21,4.48,,,,,,,,McLean County,2019-01-01T00:00:00,2019
4.4,666.85,666.85,128,81.5,11,32,9,4,121.5,34,156.5,18,74.33333333,27,31.33333333,-26.65,229,198,63.1,34.7,,0,-3,-4.65,-8.55,-10.25,-0.8,-3,-9.1,-13,-13,3208.05,,,3208.05,,,,,,,,,,,1185.15,597,11.415,16.45,6.385,250,240,,,18.3,27.3,,Macon County,2019-01-01T00:00:00,2019
,,,125,81.75,15.25,21,6,,,,,,9,,13,,178,175,75.325,,,,,,,,,,,,,,,,,,,,,,,,,,,1310.125,499,,,,,,,,,,,Macoupin County,2019-01-01T00:00:00,2019
,,,133.6,85.2,16.2,,,,,,,,3,,38,,,,116.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1493,,,,,,,,,,,,Madison County,2019-01-01T00:00:00,2019
,773.45,773.45,121.6666667,89.33333333,15.33333333,15,5,2,115,22.5,171.5,29.5,7,,21,-20.85,102,121,93.06666667,35,,-3.3,-3.3,-7.25,-7.25,-12.2,-0.3,-2.5,-9.15,-11.4,-11.4,2873,,,2873,,,,,,,,,,,1464.1,307,12.65,18.115,7.175,,,,,,,,Marion County,2019-01-01T00:00:00,2019
,,,130,82.5,10.5,,12,,,,,,1,,5,,,178,63.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.3,886,,,,,,,,,,,Marshall County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mason County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.3,,,,,,,,,,,,Massac County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3317.2,,,3317.2,,,,,,,,,,,1247.4,,,,,,,,,,,,Menard County,2019-01-01T00:00:00,2019
,549.6,549.6,126.6666667,80,11,47,19,11.5,139.5,51,143.5,17,,,,-34.15,254,165,80.16666667,35,,0,-3.05,-7.5,-7.5,-11.1,-1.4,-2.5,-4.4,-9.45,-12.2,3669.25,,,3669.25,,,,,,,,,,,1203.6,1080,9.75,14.94,4.56,,,,,,,,Mercer County,2019-01-01T00:00:00,2019
,767,767,105.5,78,12.5,,,3,104,25,170,34,,,,-23.3,,,53.95,35,,-1.1,-2.8,-8.3,-8.3,-13.3,-1.7,-4.4,-4.4,-12.2,-12.2,2805.2,,,2805.2,,,,,,,,,,,1224.35,,12.81,18.45,7.18,,,,,,,,Montgomery County,2019-01-01T00:00:00,2019
,,,107,69.66666667,12.66666667,,,,,,,,10,,9,,,,70.43333333,,,,,,,,,,,,,3310.15,,,3310.15,,,,,,,,,,,1182.2,,,,,,,,,,,,Morgan County,2019-01-01T00:00:00,2019
,745.2,745.2,129,85,13,22,6,5,129,32,167,30,11,,10.5,-25.6,178,152,64.8,35,,0,-2.8,-10,-10,-10,-0.6,-3.3,-11.7,-11.7,-11.7,3159.1,,,3159.1,,,,,,,,,,,1266.55,524,11.53,17.07,6,,,,,,,,Moultrie County,2019-01-01T00:00:00,2019
,,,137.5,94.5,8.5,,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.466667,,,,,,,,,,,,Ogle County,2019-01-01T00:00:00,2019
3.5,667,667,143.6,87.6,13.2,40,10.5,8,126,42,155,18,95,15,38,-28.8,280,207,135.84,35,,-0.5,-4.9,-4.9,-8.8,-10.5,-1.6,-3.2,-6,-12.7,-12.7,3371.8,,,3371.8,,,,,,,,,,,1363.42,831.5,11,16.11,5.89,230,230,,,17.9,26.4,,Peoria County,2019-01-01T00:00:00,2019
,829,829,118.5,83,17,,,0.5,104.5,17,178,38,10.5,,14.5,-16.7,,,70.85,35,,-2.75,-2.75,-6.95,-6.95,-12.2,-0.85,-6.1,-8.85,-8.85,-9.4,2618.85,,,2618.85,,,,,,,,,,,1406.233333,,13.46,19.02,7.905,,,,,,,,Perry County,2019-01-01T00:00:00,2019
,,,130.6666667,81.33333333,10.66666667,32,9,,,,,,57,,28,,229,198,61.63333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1127.133333,597,,,,,,,,,,,Piatt County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pike County,2019-01-01T00:00:00,2019
,869.5,869.5,88,69,21,,,0,81.5,9,183,48,50,,4,-13.3,,,60.45,35.25,,-1.95,-3.9,-5.3,-7.8,-10.85,-0.55,-5,-8.9,-8.9,-10.3,2341.4,,,2341.4,,,,,,,,,,,1380.9,,14.255,19.965,8.545,,,,,,,,Pope County,2019-01-01T00:00:00,2019
,,,,,,,,,,,,,16,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulaski County,2019-01-01T00:00:00,2019
