County,Year,NDWI
SANGAMON,2006,0.004789939
BOONE,2006,0.023919701
MORGAN,2006,0.00073062
EDWARDS,2006,0.005383925
WABASH,2006,0.003727577
WAYNE,2006,0.004301463
FULTON,2006,0.008034287
WASHINGTON,2006,0.009852766
MOULTRIE,2006,-0.000957065
TAZEWELL,2006,0.007871057
WARREN,2006,0.003690542
PULASKI,2006,0.018859058
MADISON,2006,0.00683398
MONTGOMERY,2006,0.00995435
MENARD,2006,-0.000123416
HANCOCK,2006,-0.001478904
MCLEAN,2006,-0.0011491
UNION,2007,0.005097248
MCDONOUGH,2007,0.010697491
WINNEBAGO,2007,0.03772617
MARSHALL,2007,0.016404445
JERSEY,2007,0.005611607
BUREAU,2007,0.019260636
PUTNAM,2007,0.016605808
MASON,2007,0.000400316
OGLE,2007,0.03961403
DU PAGE,2007,0.018934385
LAKE,2007,0.015025488
CASS,2007,0.002723833
LAWRENCE,2007,-0.007531812
CHAMPAIGN,2007,-0.000303156
FORD,2007,0.005230365
SCOTT,2007,0.00227999
ALEXANDER,2007,0.005815456
CLARK,2007,0.001316191
ROCK ISLAND,2007,0.032200817
HARDIN,2007,0.007714506
CALHOUN,2007,0.014173428
JACKSON,2007,0.005160597
BOND,2007,-0.008527099
CRAWFORD,2007,-0.00480037
FRANKLIN,2007,-0.002794481
PIATT,2007,-0.004094704
ST CLAIR,2007,-0.003041719
HAMILTON,2007,-0.018029579
CUMBERLAND,2007,-0.0016113
ADAMS,2007,0.017036393
DE WITT,2007,0.002464776
JO DAVIESS,2007,0.038813969
VERMILION,2007,0.001211729
EFFINGHAM,2007,-0.007909956
COOK,2007,0.012000774
PIKE,2007,0.010359191
MARION,2007,-0.008739017
KNOX,2007,0.02703094
MCHENRY,2007,0.033067036
HENDERSON,2007,0.024012556
HENRY,2007,0.020335595
GREENE,2007,-0.003263991
SALINE,2007,-0.009445455
WHITESIDE,2007,0.026884973
DE KALB,2007,0.037893555
WHITE,2007,-0.01230754
LIVINGSTON,2007,0.008825313
WOODFORD,2007,0.01264275
MERCER,2007,0.029662687
MACON,2007,-0.002114644
KENDALL,2007,0.022279907
CLINTON,2007,-0.006320603
GRUNDY,2007,0.01478518
PERRY,2007,-0.014179545
JASPER,2007,-0.015591305
EDGAR,2007,0.005931375
COLES,2007,0.000454683
GALLATIN,2007,-0.005240334
DOUGLAS,2007,-0.001193327
RANDOLPH,2007,-0.002278362
CHRISTIAN,2007,-0.007838399
WILL,2007,0.023291504
MACOUPIN,2007,-0.007322955
JEFFERSON,2007,-0.011195112
POPE,2007,0.00502544
STARK,2007,0.019113547
SCHUYLER,2007,0.01427186
STEPHENSON,2007,0.040431342
LOGAN,2007,-0.005678146
LEE,2007,0.026122546
FAYETTE,2007,-0.007486427
LA SALLE,2007,0.016337958
PEORIA,2007,0.015654805
RICHLAND,2007,-0.018285511
WILLIAMSON,2007,0.001927367
IROQUOIS,2007,0.009372399
KANE,2007,0.028245887
SHELBY,2007,-0.005742235
MONROE,2007,-0.000325915
CARROLL,2007,0.036319401
CLAY,2007,-0.013093723
MASSAC,2007,-0.006956673
JOHNSON,2007,0.003602866
BROWN,2007,0.019297603
KANKAKEE,2007,0.021334407
SANGAMON,2007,-0.003202171
BOONE,2007,0.04316905
MORGAN,2007,-0.006870406
EDWARDS,2007,-0.015319632
WABASH,2007,-0.009144021
WAYNE,2007,-0.016921446
FULTON,2007,0.01386214
WASHINGTON,2007,-0.017719616
MOULTRIE,2007,-0.002133001
TAZEWELL,2007,0.009829953
WARREN,2007,0.024708682
PULASKI,2007,-0.002788216
MADISON,2007,-0.00283158
MONTGOMERY,2007,-0.015009869
MENARD,2007,-0.001704373
HANCOCK,2007,0.014266294
MCLEAN,2007,0.007446846
UNION,2008,0.027280429
MCDONOUGH,2008,0.024821194
WINNEBAGO,2008,0.041066116
MARSHALL,2008,0.034320936
JERSEY,2008,0.019146686
BUREAU,2008,0.042454376
PUTNAM,2008,0.037245147
MASON,2008,0.019505021
OGLE,2008,0.049456062
DU PAGE,2008,0.028369385
LAKE,2008,0.02164405
CASS,2008,0.015932563
LAWRENCE,2008,0.012964323
CHAMPAIGN,2008,0.019061222
FORD,2008,0.023799549
SCOTT,2008,0.014426751
ALEXANDER,2008,0.031417986
CLARK,2008,0.018220882
ROCK ISLAND,2008,0.039340763
HARDIN,2008,0.024949807
CALHOUN,2008,0.02794123
JACKSON,2008,0.024539388
BOND,2008,0.011524136
CRAWFORD,2008,0.016950274
FRANKLIN,2008,0.017209168
PIATT,2008,0.01361747
ST CLAIR,2008,0.014349793
HAMILTON,2008,0.013216779
CUMBERLAND,2008,0.014282693
ADAMS,2008,0.017192017
DE WITT,2008,0.024341916
JO DAVIESS,2008,0.043689696
VERMILION,2008,0.021002224
EFFINGHAM,2008,0.010889473
COOK,2008,0.022883724
PIKE,2008,0.015685411
MARION,2008,0.011912412
KNOX,2008,0.03510828
MCHENRY,2008,0.03769522
HENDERSON,2008,0.04005242
HENRY,2008,0.039609878
GREENE,2008,0.010569819
SALINE,2008,0.012614198
WHITESIDE,2008,0.044674177
DE KALB,2008,0.047188691
WHITE,2008,0.009482069
LIVINGSTON,2008,0.02382166
WOODFORD,2008,0.030860146
MERCER,2008,0.042795479
MACON,2008,0.015525587
KENDALL,2008,0.037709652
CLINTON,2008,0.018010005
GRUNDY,2008,0.031591873
PERRY,2008,0.013973224
JASPER,2008,0.016127931
EDGAR,2008,0.016569542
COLES,2008,0.012840439
GALLATIN,2008,0.00965381
DOUGLAS,2008,0.00522807
RANDOLPH,2008,0.01753073
CHRISTIAN,2008,0.009971094
WILL,2008,0.02705346
MACOUPIN,2008,0.012115085
JEFFERSON,2008,0.017570023
POPE,2008,0.022525911
STARK,2008,0.038170912
SCHUYLER,2008,0.023540634
STEPHENSON,2008,0.057885741
LOGAN,2008,0.020616705
LEE,2008,0.04508327
FAYETTE,2008,0.009687587
LA SALLE,2008,0.032827036
PEORIA,2008,0.032157398
RICHLAND,2008,0.009301473
WILLIAMSON,2008,0.022097414
IROQUOIS,2008,0.026907635
KANE,2008,0.03974217
SHELBY,2008,0.010953766
MONROE,2008,0.020100346
